MAE 21.41, MSE 72.21 
MAE 17.93, MSE 66.06 
MAE 18.66, MSE 66.34 
MAE 18.30, MSE 67.10 
MAE 20.29, MSE 67.94 
MAE 19.80, MSE 68.54 
MAE 16.95, MSE 63.16 
MAE 19.58, MSE 68.82 
MAE 17.39, MSE 64.57 
MAE 18.29, MSE 60.92 
MAE 19.38, MSE 67.85 
MAE 18.81, MSE 69.98 
MAE 19.57, MSE 66.35 
MAE 20.95, MSE 71.86 
MAE 20.08, MSE 65.80 
MAE 17.64, MSE 65.13 
MAE 17.49, MSE 64.22 
MAE 17.41, MSE 62.54 
MAE 24.95, MSE 72.78 
MAE 18.23, MSE 64.81 
MAE 17.99, MSE 64.91 
MAE 18.34, MSE 68.51 
MAE 17.79, MSE 65.17 
MAE 17.36, MSE 64.87 
MAE 17.41, MSE 65.28 
MAE 19.58, MSE 69.97 
MAE 17.74, MSE 63.16 
MAE 19.98, MSE 66.16 
MAE 18.26, MSE 65.87 
MAE 17.12, MSE 63.56 
MAE 19.24, MSE 68.06 
MAE 18.58, MSE 64.88 
MAE 17.48, MSE 65.45 
MAE 18.71, MSE 67.95 
MAE 19.66, MSE 68.11 
MAE 18.46, MSE 67.28 
MAE 15.78, MSE 57.77 
MAE 19.16, MSE 68.44 
MAE 17.78, MSE 66.40 
MAE 20.90, MSE 78.49 
MAE 18.32, MSE 68.58 
MAE 20.09, MSE 68.80 
MAE 17.70, MSE 62.31 
MAE 16.92, MSE 65.39 
MAE 20.23, MSE 69.13 
MAE 18.03, MSE 64.16 
MAE 18.09, MSE 63.69 
MAE 17.68, MSE 67.89 
MAE 17.41, MSE 68.27 
MAE 18.34, MSE 65.03 
MAE 17.03, MSE 63.09 
MAE 21.50, MSE 76.78 
MAE 19.01, MSE 64.92 
MAE 17.96, MSE 64.48 
MAE 16.93, MSE 63.09 
MAE 18.11, MSE 68.05 
MAE 16.09, MSE 59.54 
MAE 18.95, MSE 67.43 
MAE 18.45, MSE 69.43 
MAE 20.54, MSE 65.93 
MAE 18.77, MSE 67.95 
MAE 17.35, MSE 65.36 
MAE 19.13, MSE 67.29 
MAE 21.81, MSE 69.60 
MAE 21.87, MSE 71.74 
MAE 19.50, MSE 68.05 
MAE 17.89, MSE 62.23 
MAE 17.31, MSE 63.39 
MAE 20.26, MSE 66.46 
MAE 17.25, MSE 64.94 
MAE 18.03, MSE 66.59 
MAE 20.14, MSE 67.47 
MAE 17.20, MSE 65.17 
MAE 18.96, MSE 68.40 
MAE 19.24, MSE 67.66 
MAE 18.18, MSE 66.10 
MAE 18.26, MSE 62.94 
MAE 17.52, MSE 64.62 
MAE 17.77, MSE 67.44 
MAE 20.92, MSE 69.57 
MAE 18.01, MSE 65.28 
MAE 17.66, MSE 62.76 
MAE 19.43, MSE 70.43 
MAE 20.27, MSE 68.46 
MAE 18.06, MSE 67.35 
MAE 21.97, MSE 75.40 
MAE 19.88, MSE 68.29 
MAE 18.51, MSE 70.95 
MAE 20.06, MSE 69.34 
MAE 17.16, MSE 65.85 
MAE 17.73, MSE 65.18 
MAE 18.10, MSE 65.34 
MAE 19.45, MSE 69.08 
MAE 19.72, MSE 67.08 
MAE 17.26, MSE 64.61 
MAE 17.69, MSE 64.87 
MAE 20.26, MSE 70.87 
MAE 29.11, MSE 77.50 
MAE 18.27, MSE 66.81 
MAE 17.31, MSE 63.15 
MAE 24.66, MSE 71.14 
MAE 18.97, MSE 69.13 
MAE 25.40, MSE 68.60 
MAE 19.27, MSE 68.98 
MAE 18.45, MSE 66.69 
MAE 18.54, MSE 67.42 
MAE 18.33, MSE 66.57 
MAE 16.91, MSE 64.61 
MAE 18.98, MSE 67.60 
MAE 17.15, MSE 67.40 
MAE 17.27, MSE 65.18 
MAE 16.89, MSE 62.89 
