MAE 28.33, MSE 94.37 
MAE 26.47, MSE 91.77 
MAE 26.78, MSE 93.56 
MAE 22.76, MSE 83.46 
MAE 23.11, MSE 84.44 
MAE 24.03, MSE 85.52 
MAE 24.69, MSE 87.43 
MAE 26.11, MSE 91.31 
MAE 25.82, MSE 91.43 
MAE 27.17, MSE 91.30 
MAE 25.41, MSE 91.07 
MAE 22.73, MSE 81.65 
MAE 24.25, MSE 88.09 
MAE 29.32, MSE 100.65 
MAE 24.22, MSE 87.52 
MAE 23.82, MSE 87.57 
MAE 25.80, MSE 89.39 
MAE 25.49, MSE 91.50 
MAE 24.02, MSE 84.68 
MAE 28.29, MSE 95.56 
MAE 26.16, MSE 87.77 
MAE 27.35, MSE 95.37 
MAE 23.20, MSE 84.45 
MAE 24.10, MSE 88.13 
MAE 24.21, MSE 88.32 
MAE 24.13, MSE 85.09 
MAE 24.53, MSE 85.50 
MAE 22.14, MSE 79.54 
MAE 24.63, MSE 86.88 
MAE 23.61, MSE 83.59 
MAE 26.77, MSE 90.90 
MAE 24.05, MSE 85.45 
MAE 24.01, MSE 86.75 
MAE 28.62, MSE 88.90 
MAE 24.62, MSE 88.23 
MAE 24.34, MSE 85.27 
MAE 25.03, MSE 86.76 
MAE 24.36, MSE 86.46 
MAE 24.76, MSE 90.52 
MAE 26.64, MSE 92.01 
MAE 25.45, MSE 89.61 
MAE 24.69, MSE 89.58 
MAE 28.62, MSE 91.05 
MAE 24.35, MSE 86.97 
MAE 24.32, MSE 87.03 
MAE 24.48, MSE 86.33 
MAE 26.28, MSE 89.64 
MAE 24.62, MSE 88.32 
MAE 27.90, MSE 92.95 
MAE 25.21, MSE 88.84 
MAE 25.08, MSE 85.96 
MAE 27.38, MSE 93.78 
MAE 26.83, MSE 91.35 
MAE 22.78, MSE 83.94 
MAE 23.51, MSE 78.17 
MAE 25.65, MSE 88.18 
MAE 23.79, MSE 86.91 
MAE 24.81, MSE 88.31 
MAE 24.19, MSE 87.20 
MAE 26.82, MSE 91.39 
MAE 30.99, MSE 100.83 
MAE 24.20, MSE 83.58 
MAE 26.10, MSE 89.53 
MAE 24.92, MSE 86.34 
MAE 23.08, MSE 85.44 
MAE 24.02, MSE 88.93 
MAE 22.05, MSE 81.14 
MAE 24.80, MSE 87.80 
MAE 28.28, MSE 88.64 
MAE 23.14, MSE 86.25 
MAE 23.59, MSE 85.50 
MAE 24.41, MSE 89.78 
MAE 23.68, MSE 87.11 
MAE 24.41, MSE 89.49 
MAE 25.19, MSE 90.78 
MAE 23.76, MSE 87.71 
MAE 23.82, MSE 85.59 
MAE 25.48, MSE 85.90 
MAE 24.77, MSE 89.49 
MAE 22.99, MSE 86.42 
MAE 25.92, MSE 91.03 
MAE 24.08, MSE 87.19 
MAE 24.59, MSE 88.61 
MAE 23.33, MSE 87.17 
MAE 24.81, MSE 89.40 
MAE 25.25, MSE 90.43 
MAE 23.45, MSE 85.24 
MAE 25.51, MSE 88.29 
MAE 24.90, MSE 89.71 
MAE 25.03, MSE 89.89 
MAE 23.91, MSE 88.81 
MAE 26.10, MSE 89.56 
MAE 23.73, MSE 86.58 
MAE 24.35, MSE 87.74 
MAE 23.43, MSE 86.10 
MAE 23.89, MSE 86.55 
MAE 30.23, MSE 93.74 
MAE 23.50, MSE 85.91 
MAE 22.88, MSE 85.58 
MAE 24.93, MSE 89.43 
MAE 24.05, MSE 86.02 
MAE 24.63, MSE 90.04 
MAE 22.75, MSE 84.75 
MAE 26.73, MSE 90.25 
MAE 27.97, MSE 91.57 
MAE 23.31, MSE 86.77 
MAE 25.49, MSE 91.11 
MAE 23.40, MSE 82.64 
MAE 23.31, MSE 87.18 
MAE 28.79, MSE 92.74 
MAE 30.33, MSE 94.26 
MAE 26.39, MSE 89.71 
