MAE 21.45, MSE 80.51 
MAE 24.28, MSE 78.09 
MAE 21.28, MSE 80.24 
MAE 21.25, MSE 76.96 
MAE 18.88, MSE 68.45 
MAE 21.60, MSE 77.86 
MAE 21.86, MSE 79.51 
MAE 21.50, MSE 76.46 
MAE 20.25, MSE 70.32 
MAE 22.33, MSE 76.38 
MAE 21.81, MSE 76.60 
MAE 22.49, MSE 81.76 
MAE 24.12, MSE 84.24 
MAE 22.29, MSE 76.52 
MAE 20.28, MSE 73.79 
MAE 21.66, MSE 79.77 
MAE 21.63, MSE 78.16 
MAE 21.45, MSE 78.14 
MAE 21.59, MSE 78.46 
MAE 22.04, MSE 78.04 
MAE 22.18, MSE 79.78 
MAE 22.98, MSE 80.20 
MAE 23.09, MSE 80.90 
MAE 20.93, MSE 77.10 
MAE 20.65, MSE 77.07 
MAE 22.25, MSE 78.19 
MAE 21.01, MSE 78.58 
MAE 23.03, MSE 79.74 
MAE 21.41, MSE 79.15 
MAE 27.13, MSE 85.24 
MAE 23.34, MSE 83.18 
MAE 23.83, MSE 80.39 
MAE 21.92, MSE 79.17 
MAE 20.66, MSE 77.52 
MAE 22.99, MSE 81.30 
MAE 21.94, MSE 78.98 
MAE 21.11, MSE 79.36 
MAE 24.98, MSE 79.27 
MAE 21.47, MSE 79.05 
MAE 23.93, MSE 84.13 
MAE 21.54, MSE 77.64 
MAE 21.19, MSE 78.18 
MAE 23.89, MSE 82.53 
MAE 22.21, MSE 78.54 
MAE 22.62, MSE 81.69 
MAE 23.64, MSE 82.85 
MAE 21.61, MSE 76.93 
MAE 21.44, MSE 79.55 
MAE 21.08, MSE 78.34 
MAE 24.10, MSE 81.90 
MAE 22.95, MSE 78.32 
MAE 21.14, MSE 79.31 
MAE 22.32, MSE 79.64 
MAE 22.87, MSE 81.92 
MAE 21.62, MSE 77.42 
MAE 23.48, MSE 83.91 
MAE 23.77, MSE 80.66 
MAE 24.76, MSE 84.93 
MAE 21.96, MSE 78.69 
MAE 23.33, MSE 82.11 
MAE 22.38, MSE 79.24 
MAE 22.96, MSE 80.56 
MAE 24.56, MSE 81.55 
MAE 21.07, MSE 76.82 
MAE 25.52, MSE 85.01 
MAE 27.44, MSE 88.97 
MAE 22.15, MSE 78.27 
MAE 22.93, MSE 82.72 
MAE 22.80, MSE 79.34 
MAE 23.09, MSE 80.04 
MAE 23.34, MSE 82.33 
MAE 23.20, MSE 79.67 
MAE 21.57, MSE 78.84 
MAE 22.59, MSE 76.91 
MAE 21.55, MSE 79.44 
MAE 24.42, MSE 80.45 
MAE 21.94, MSE 78.72 
MAE 21.09, MSE 75.83 
MAE 22.97, MSE 80.24 
MAE 21.87, MSE 77.91 
MAE 20.14, MSE 74.23 
MAE 21.39, MSE 76.29 
MAE 20.62, MSE 76.68 
MAE 22.42, MSE 78.05 
MAE 20.91, MSE 77.27 
MAE 21.09, MSE 77.09 
MAE 21.88, MSE 80.38 
MAE 23.04, MSE 79.43 
MAE 22.37, MSE 80.29 
MAE 23.89, MSE 84.25 
MAE 21.19, MSE 75.56 
MAE 22.19, MSE 79.03 
MAE 22.46, MSE 79.10 
MAE 21.27, MSE 78.46 
MAE 23.09, MSE 80.32 
MAE 20.76, MSE 76.76 
MAE 23.06, MSE 80.93 
MAE 22.14, MSE 78.52 
MAE 20.71, MSE 76.53 
MAE 23.02, MSE 82.02 
MAE 23.04, MSE 80.04 
MAE 22.79, MSE 80.03 
MAE 22.82, MSE 80.59 
MAE 22.71, MSE 79.26 
MAE 22.85, MSE 78.42 
MAE 22.33, MSE 79.54 
MAE 20.95, MSE 74.09 
MAE 22.73, MSE 81.93 
MAE 34.86, MSE 94.23 
MAE 23.60, MSE 81.00 
MAE 25.53, MSE 82.14 
MAE 24.21, MSE 81.12 
