MAE 19.60, MSE 66.40 
MAE 21.02, MSE 68.28 
MAE 19.54, MSE 68.77 
MAE 23.61, MSE 74.91 
MAE 17.58, MSE 63.17 
MAE 16.90, MSE 62.81 
MAE 19.37, MSE 66.92 
MAE 19.45, MSE 67.14 
MAE 17.83, MSE 65.10 
MAE 18.26, MSE 64.13 
MAE 19.81, MSE 69.76 
MAE 17.47, MSE 65.78 
MAE 17.26, MSE 58.45 
MAE 18.05, MSE 63.47 
MAE 31.40, MSE 91.72 
MAE 17.57, MSE 64.17 
MAE 18.61, MSE 67.28 
MAE 18.15, MSE 66.20 
MAE 18.28, MSE 65.51 
MAE 18.82, MSE 65.65 
MAE 17.08, MSE 63.28 
MAE 17.53, MSE 64.49 
MAE 18.60, MSE 65.39 
MAE 20.32, MSE 70.03 
MAE 18.17, MSE 64.18 
MAE 18.22, MSE 65.61 
MAE 18.63, MSE 65.43 
MAE 18.15, MSE 66.95 
MAE 18.20, MSE 65.22 
MAE 18.35, MSE 65.66 
MAE 18.99, MSE 67.89 
MAE 18.01, MSE 67.11 
MAE 18.88, MSE 63.57 
MAE 19.32, MSE 67.26 
MAE 20.66, MSE 65.24 
MAE 19.53, MSE 65.60 
MAE 21.01, MSE 69.22 
MAE 18.48, MSE 65.96 
MAE 19.33, MSE 67.41 
MAE 18.92, MSE 66.38 
MAE 18.68, MSE 68.29 
MAE 18.26, MSE 66.11 
MAE 22.30, MSE 76.86 
MAE 18.77, MSE 65.89 
MAE 19.79, MSE 69.64 
MAE 17.50, MSE 65.54 
MAE 18.20, MSE 68.31 
MAE 20.07, MSE 69.18 
MAE 18.50, MSE 65.47 
MAE 17.24, MSE 63.62 
MAE 18.13, MSE 66.76 
MAE 20.18, MSE 76.58 
MAE 18.45, MSE 64.98 
MAE 20.95, MSE 78.12 
MAE 17.85, MSE 63.51 
MAE 19.86, MSE 69.21 
MAE 22.28, MSE 64.37 
MAE 18.44, MSE 63.60 
MAE 18.76, MSE 67.61 
MAE 18.23, MSE 66.35 
MAE 18.49, MSE 68.81 
MAE 24.55, MSE 75.70 
MAE 18.21, MSE 67.41 
MAE 17.49, MSE 65.52 
MAE 22.67, MSE 70.48 
MAE 18.46, MSE 65.86 
MAE 17.78, MSE 64.22 
MAE 19.85, MSE 74.22 
MAE 18.71, MSE 67.55 
MAE 18.42, MSE 62.32 
MAE 19.26, MSE 65.54 
MAE 18.91, MSE 69.09 
MAE 17.02, MSE 62.83 
MAE 17.55, MSE 64.51 
MAE 17.20, MSE 64.04 
MAE 17.25, MSE 63.57 
MAE 19.18, MSE 69.37 
MAE 18.74, MSE 67.12 
MAE 18.13, MSE 66.57 
MAE 18.16, MSE 66.90 
MAE 18.49, MSE 68.23 
MAE 18.46, MSE 68.93 
MAE 18.35, MSE 67.91 
MAE 17.13, MSE 63.99 
MAE 19.64, MSE 68.20 
MAE 19.22, MSE 66.67 
MAE 17.69, MSE 65.52 
MAE 18.15, MSE 69.47 
MAE 19.71, MSE 66.25 
MAE 19.42, MSE 70.76 
MAE 18.67, MSE 70.48 
MAE 17.98, MSE 66.67 
MAE 18.72, MSE 63.44 
MAE 21.39, MSE 78.14 
MAE 18.47, MSE 66.44 
MAE 20.51, MSE 61.92 
MAE 20.41, MSE 71.48 
MAE 17.15, MSE 64.17 
MAE 17.68, MSE 66.47 
MAE 17.75, MSE 65.87 
MAE 20.45, MSE 70.43 
MAE 19.64, MSE 73.11 
MAE 18.27, MSE 67.15 
MAE 18.64, MSE 67.11 
MAE 17.61, MSE 65.33 
MAE 18.78, MSE 69.06 
MAE 19.25, MSE 64.38 
MAE 20.07, MSE 71.82 
MAE 24.11, MSE 85.93 
MAE 18.07, MSE 69.33 
MAE 19.00, MSE 68.91 
MAE 18.61, MSE 69.62 
