MAE 21.24, MSE 79.63 
MAE 22.57, MSE 76.50 
MAE 23.39, MSE 80.37 
MAE 23.64, MSE 86.01 
MAE 21.41, MSE 74.52 
MAE 26.63, MSE 86.66 
MAE 22.18, MSE 77.99 
MAE 21.56, MSE 77.68 
MAE 20.49, MSE 73.00 
MAE 24.23, MSE 74.81 
MAE 21.67, MSE 77.50 
MAE 22.01, MSE 77.69 
MAE 25.06, MSE 85.02 
MAE 25.15, MSE 81.01 
MAE 24.10, MSE 79.66 
MAE 22.05, MSE 77.34 
MAE 22.16, MSE 77.40 
MAE 21.76, MSE 76.96 
MAE 24.29, MSE 80.67 
MAE 21.97, MSE 78.82 
MAE 21.12, MSE 77.75 
MAE 21.67, MSE 77.44 
MAE 21.83, MSE 78.40 
MAE 22.78, MSE 79.09 
MAE 24.61, MSE 86.40 
MAE 22.29, MSE 77.52 
MAE 23.77, MSE 79.29 
MAE 22.24, MSE 83.35 
MAE 21.68, MSE 76.74 
MAE 22.07, MSE 82.28 
MAE 20.19, MSE 74.10 
MAE 20.31, MSE 73.73 
MAE 26.91, MSE 87.11 
MAE 22.83, MSE 79.19 
MAE 23.52, MSE 78.07 
MAE 22.99, MSE 81.63 
MAE 20.97, MSE 78.23 
MAE 20.99, MSE 75.31 
MAE 21.48, MSE 76.41 
MAE 22.04, MSE 79.15 
MAE 25.35, MSE 83.50 
MAE 21.90, MSE 70.99 
MAE 22.45, MSE 82.05 
MAE 20.77, MSE 76.78 
MAE 21.43, MSE 77.96 
MAE 21.40, MSE 77.75 
MAE 21.67, MSE 74.55 
MAE 23.24, MSE 81.51 
MAE 26.71, MSE 90.12 
MAE 22.33, MSE 79.84 
MAE 21.80, MSE 79.24 
MAE 22.72, MSE 78.38 
MAE 21.97, MSE 80.60 
MAE 21.61, MSE 79.62 
MAE 22.23, MSE 79.36 
MAE 22.89, MSE 80.41 
MAE 22.35, MSE 78.31 
MAE 20.61, MSE 77.19 
MAE 20.24, MSE 74.22 
MAE 22.45, MSE 79.95 
MAE 24.10, MSE 82.95 
MAE 22.82, MSE 81.85 
MAE 23.96, MSE 79.91 
MAE 22.94, MSE 82.76 
MAE 23.19, MSE 80.42 
MAE 23.07, MSE 81.59 
MAE 22.23, MSE 81.95 
MAE 21.35, MSE 77.88 
MAE 23.53, MSE 82.46 
MAE 21.48, MSE 77.31 
MAE 23.89, MSE 86.76 
MAE 21.79, MSE 77.77 
MAE 28.90, MSE 86.18 
MAE 21.38, MSE 78.35 
MAE 23.90, MSE 83.31 
MAE 22.64, MSE 79.77 
MAE 24.13, MSE 82.78 
MAE 21.98, MSE 79.71 
MAE 23.65, MSE 83.60 
MAE 28.80, MSE 94.50 
MAE 22.78, MSE 82.80 
MAE 22.20, MSE 83.35 
MAE 22.33, MSE 81.81 
MAE 22.84, MSE 81.48 
MAE 22.80, MSE 84.17 
MAE 20.92, MSE 77.54 
MAE 22.29, MSE 82.33 
MAE 21.85, MSE 80.17 
MAE 20.37, MSE 73.37 
MAE 21.55, MSE 79.94 
MAE 22.99, MSE 82.03 
MAE 22.82, MSE 79.52 
MAE 22.86, MSE 81.11 
MAE 22.95, MSE 81.85 
MAE 23.22, MSE 83.81 
MAE 21.89, MSE 78.86 
MAE 26.90, MSE 88.07 
MAE 23.15, MSE 85.04 
MAE 22.34, MSE 80.89 
MAE 21.27, MSE 77.13 
MAE 21.62, MSE 76.74 
MAE 22.66, MSE 82.42 
MAE 21.16, MSE 78.54 
MAE 23.44, MSE 80.90 
MAE 22.26, MSE 81.20 
MAE 23.58, MSE 80.42 
MAE 21.25, MSE 76.37 
MAE 22.29, MSE 82.93 
MAE 21.98, MSE 78.42 
MAE 21.97, MSE 79.96 
MAE 22.40, MSE 81.36 
MAE 23.31, MSE 81.14 
