MAE 21.79, MSE 81.94 
MAE 21.87, MSE 82.29 
MAE 22.09, MSE 81.02 
MAE 24.03, MSE 88.12 
MAE 23.68, MSE 83.48 
MAE 22.71, MSE 83.56 
MAE 24.05, MSE 92.53 
MAE 24.67, MSE 85.77 
MAE 22.62, MSE 84.29 
MAE 24.68, MSE 84.09 
MAE 24.07, MSE 86.34 
MAE 22.50, MSE 83.28 
MAE 21.45, MSE 81.10 
MAE 23.06, MSE 85.48 
MAE 27.75, MSE 88.97 
MAE 24.92, MSE 86.34 
MAE 23.19, MSE 84.60 
MAE 24.86, MSE 92.25 
MAE 22.43, MSE 83.37 
MAE 22.55, MSE 82.42 
MAE 24.46, MSE 85.95 
MAE 20.95, MSE 77.99 
MAE 22.77, MSE 84.56 
MAE 22.83, MSE 83.02 
MAE 23.62, MSE 84.90 
MAE 23.76, MSE 83.14 
MAE 25.12, MSE 89.35 
MAE 22.94, MSE 85.42 
MAE 23.18, MSE 85.55 
MAE 21.41, MSE 83.11 
MAE 23.72, MSE 82.88 
MAE 21.95, MSE 83.15 
MAE 21.46, MSE 79.96 
MAE 23.17, MSE 82.84 
MAE 24.04, MSE 86.03 
MAE 23.67, MSE 86.67 
MAE 22.89, MSE 86.53 
MAE 26.39, MSE 93.56 
MAE 22.98, MSE 84.92 
MAE 23.61, MSE 86.84 
MAE 24.00, MSE 84.54 
MAE 23.52, MSE 85.09 
MAE 23.27, MSE 86.65 
MAE 24.37, MSE 86.26 
MAE 24.57, MSE 87.86 
MAE 24.39, MSE 90.11 
MAE 21.98, MSE 83.82 
MAE 23.31, MSE 89.22 
MAE 27.56, MSE 88.95 
MAE 25.94, MSE 86.06 
MAE 25.26, MSE 86.88 
MAE 21.69, MSE 80.56 
MAE 23.83, MSE 87.27 
MAE 21.48, MSE 79.69 
MAE 23.49, MSE 85.24 
MAE 24.55, MSE 87.61 
MAE 23.43, MSE 86.30 
MAE 22.82, MSE 84.89 
MAE 23.10, MSE 84.71 
MAE 25.40, MSE 87.50 
MAE 22.86, MSE 83.34 
MAE 24.21, MSE 86.54 
MAE 25.50, MSE 88.68 
MAE 25.27, MSE 87.08 
MAE 23.27, MSE 84.72 
MAE 25.77, MSE 88.17 
MAE 24.04, MSE 85.92 
MAE 25.77, MSE 87.02 
MAE 24.53, MSE 85.32 
MAE 22.99, MSE 85.19 
MAE 23.09, MSE 84.22 
MAE 21.56, MSE 83.38 
MAE 23.43, MSE 86.75 
MAE 24.09, MSE 86.45 
MAE 21.48, MSE 82.63 
MAE 23.14, MSE 88.41 
MAE 21.63, MSE 81.30 
MAE 23.29, MSE 84.29 
MAE 23.46, MSE 86.00 
MAE 22.91, MSE 85.99 
MAE 23.08, MSE 84.18 
MAE 25.47, MSE 86.60 
MAE 26.00, MSE 89.23 
MAE 28.21, MSE 90.86 
MAE 21.85, MSE 84.08 
MAE 24.68, MSE 88.07 
MAE 25.53, MSE 89.25 
MAE 24.71, MSE 85.94 
MAE 23.76, MSE 88.78 
MAE 23.49, MSE 84.09 
MAE 24.48, MSE 85.49 
MAE 25.12, MSE 87.83 
MAE 23.51, MSE 86.84 
MAE 23.08, MSE 83.86 
MAE 22.51, MSE 83.16 
MAE 22.57, MSE 82.85 
MAE 22.51, MSE 85.59 
MAE 24.59, MSE 86.90 
MAE 23.27, MSE 88.66 
MAE 22.83, MSE 85.25 
MAE 23.02, MSE 86.42 
MAE 24.43, MSE 85.84 
MAE 22.61, MSE 85.59 
MAE 24.42, MSE 85.43 
MAE 24.37, MSE 86.90 
MAE 24.76, MSE 89.56 
MAE 23.92, MSE 85.29 
MAE 23.80, MSE 88.76 
MAE 23.79, MSE 85.44 
MAE 23.79, MSE 86.05 
MAE 26.08, MSE 82.82 
MAE 22.05, MSE 85.78 
MAE 20.05, MSE 92.29 
MAE 20.05, MSE 92.29 
