MAE 19.47, MSE 69.13 
MAE 22.01, MSE 74.85 
MAE 18.74, MSE 65.77 
MAE 22.30, MSE 70.53 
MAE 18.32, MSE 59.86 
MAE 22.61, MSE 78.35 
MAE 22.15, MSE 76.07 
MAE 21.51, MSE 74.17 
MAE 25.07, MSE 78.84 
MAE 23.27, MSE 76.68 
MAE 22.32, MSE 80.14 
MAE 22.08, MSE 76.19 
MAE 20.48, MSE 71.67 
MAE 23.20, MSE 77.14 
MAE 20.55, MSE 73.51 
MAE 21.33, MSE 75.87 
MAE 20.49, MSE 73.93 
MAE 21.62, MSE 75.45 
MAE 21.90, MSE 71.87 
MAE 20.82, MSE 74.24 
MAE 22.59, MSE 77.52 
MAE 21.73, MSE 74.71 
MAE 21.98, MSE 75.82 
MAE 21.07, MSE 74.47 
MAE 21.03, MSE 73.50 
MAE 23.56, MSE 74.67 
MAE 23.18, MSE 74.76 
MAE 19.64, MSE 72.14 
MAE 21.65, MSE 75.51 
MAE 22.35, MSE 75.87 
MAE 20.88, MSE 74.12 
MAE 21.29, MSE 73.54 
MAE 22.60, MSE 77.74 
MAE 23.05, MSE 76.85 
MAE 21.94, MSE 75.44 
MAE 22.47, MSE 73.62 
MAE 22.27, MSE 76.20 
MAE 22.15, MSE 72.54 
MAE 23.03, MSE 74.23 
MAE 20.19, MSE 72.38 
MAE 21.93, MSE 76.05 
MAE 21.72, MSE 74.59 
MAE 22.07, MSE 76.91 
MAE 21.54, MSE 77.32 
MAE 21.56, MSE 74.16 
MAE 22.30, MSE 76.22 
MAE 22.23, MSE 78.88 
MAE 20.29, MSE 75.42 
MAE 20.28, MSE 72.55 
MAE 23.45, MSE 76.75 
MAE 22.00, MSE 79.85 
MAE 27.70, MSE 84.74 
MAE 24.13, MSE 77.88 
MAE 21.60, MSE 60.62 
MAE 20.74, MSE 74.18 
MAE 22.28, MSE 82.27 
MAE 20.42, MSE 70.27 
MAE 22.11, MSE 75.88 
MAE 22.05, MSE 74.98 
MAE 21.09, MSE 73.30 
MAE 22.21, MSE 76.52 
MAE 25.67, MSE 83.61 
MAE 20.75, MSE 73.87 
MAE 18.91, MSE 68.56 
MAE 20.58, MSE 74.10 
MAE 21.57, MSE 74.76 
MAE 20.10, MSE 72.28 
MAE 21.23, MSE 74.31 
MAE 19.83, MSE 73.30 
MAE 22.52, MSE 76.15 
MAE 20.86, MSE 76.13 
MAE 20.65, MSE 77.28 
MAE 21.99, MSE 77.43 
MAE 19.76, MSE 70.07 
MAE 22.64, MSE 80.24 
MAE 21.15, MSE 74.11 
MAE 20.61, MSE 75.52 
MAE 19.87, MSE 72.67 
MAE 20.38, MSE 74.96 
MAE 22.68, MSE 77.85 
MAE 21.80, MSE 76.11 
MAE 21.96, MSE 76.19 
MAE 21.77, MSE 76.76 
MAE 21.31, MSE 75.13 
MAE 19.84, MSE 71.44 
MAE 22.60, MSE 76.82 
MAE 20.61, MSE 74.22 
MAE 21.63, MSE 75.36 
MAE 20.74, MSE 76.14 
MAE 20.20, MSE 73.70 
MAE 23.37, MSE 86.16 
MAE 22.67, MSE 75.13 
MAE 20.09, MSE 70.94 
MAE 22.22, MSE 78.77 
MAE 21.45, MSE 75.71 
MAE 22.51, MSE 77.28 
MAE 23.35, MSE 76.58 
MAE 27.32, MSE 80.95 
MAE 21.50, MSE 77.00 
MAE 21.44, MSE 75.73 
MAE 20.74, MSE 73.38 
MAE 22.48, MSE 77.93 
MAE 20.57, MSE 74.79 
MAE 21.35, MSE 76.67 
MAE 23.85, MSE 75.95 
MAE 22.80, MSE 80.68 
MAE 19.69, MSE 71.94 
MAE 21.88, MSE 77.11 
MAE 21.09, MSE 76.18 
MAE 22.25, MSE 76.71 
MAE 23.52, MSE 80.70 
MAE 28.71, MSE 86.99 
